"_id","_labels","Att_t_client","Budgt_alloc","Client","Competitors","CrossSale","Deal_type","Forml_tend","Growth","Needs_def","Partnership","Posit_statm","Purch_dept","RFI","RFP","Scope","Source","Status","Strat_deal","Up_sale","authority","comp_size","name","product","seller","_start","_end","_type"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","9","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","201","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","60","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","61","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"1","15","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"1","16","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"1","17","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"1","18","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"1","19","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"2","20","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"2","197","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"2","198","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"2","199","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"2","200","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"3","198","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"3","199","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"3","200","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"3","9","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"3","201","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"3","60","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"3","61","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","4","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","202","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","203","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"4","204","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"4","6","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"4","5","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"5","7","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"5","8","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"5","6","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"6","11","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"5","12","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"7","14","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"8","13","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"9","10","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"10","13","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"10","11","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"11","12","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"12","14","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"12","13","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"13","10","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"14","13","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"15","205","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"16","206","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"17","23","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"18","24","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"19","25","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"20","207","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","21","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"1","22","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"21","26","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"22","27","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"23","28","IS_CONNECTED"
